"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 03 10:42:11 GMT 2022","Mon Oct 03 10:42:14 GMT 2022","3678","","Testing the main page","","","","The “Connect on LinkedIn” link",""
"passed","Mon Oct 03 10:43:30 GMT 2022","Mon Oct 03 10:43:56 GMT 2022","25668","","Testing the sign in page","","","","Login with empty fields",""
"passed","Mon Oct 03 10:42:20 GMT 2022","Mon Oct 03 10:42:23 GMT 2022","3779","","Testing the main page","","","","The “Follow on Facebook” link",""
"passed","Mon Oct 03 10:43:56 GMT 2022","Mon Oct 03 10:44:18 GMT 2022","21971","","Testing the sign in page","","","","Login with a randomly generated email and password",""
"passed","Mon Oct 03 10:44:55 GMT 2022","Mon Oct 03 10:45:26 GMT 2022","31610","","Testing the registration page","","","","Registration with valid random generated inputs",""
"passed","Mon Oct 03 10:42:24 GMT 2022","Mon Oct 03 10:42:31 GMT 2022","7070","","Testing the main page","","","","Clicking the “Developer Docs” link in the “hamburger menu”",""
"passed","Mon Oct 03 10:41:48 GMT 2022","Mon Oct 03 10:41:58 GMT 2022","10509","","Testing the main page","","","","Clicking the “Developer Docs” link in the hoverable dropdown menu",""
"passed","Mon Oct 03 10:42:31 GMT 2022","Mon Oct 03 10:42:41 GMT 2022","9800","","Testing the main page","","","","Clicking the “See all Pricing” link in the “hamburger menu”",""
"passed","Mon Oct 03 10:42:41 GMT 2022","Mon Oct 03 10:42:44 GMT 2022","2723","","Testing the main page","","","","Checking the year in the copyright message in the footer",""
"passed","Mon Oct 03 10:41:59 GMT 2022","Mon Oct 03 10:42:11 GMT 2022","11993","","Testing the main page","","","","Clicking the “See all Pricing” link in the hoverable dropdown menu",""
"passed","Mon Oct 03 10:42:15 GMT 2022","Mon Oct 03 10:42:19 GMT 2022","3849","","Testing the main page","","","","The “Follow on Twitter” link",""
"passed","Mon Oct 03 10:41:34 GMT 2022","Mon Oct 03 10:41:48 GMT 2022","13832","","Testing the main page","","","","Clicking the “Try for free” button",""
"passed","Mon Oct 03 10:40:58 GMT 2022","Mon Oct 03 10:41:04 GMT 2022","6405","","Testing the “Talk to an expert” page","","","","Checking the phone numbers in the “Calling from overseas?” section",""
"skipped","Mon Oct 03 10:44:55 GMT 2022","Mon Oct 03 10:44:55 GMT 2022","12","","Testing the registration page","","","","Registration with blank inputs",""
"passed","Mon Oct 03 10:40:42 GMT 2022","Mon Oct 03 10:40:58 GMT 2022","15540","","Testing the “Talk to an expert” page","","","","Checking the phone number in the “Talk to our product experts” section",""
