"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 03 12:12:00 GMT 2022","Mon Oct 03 12:12:05 GMT 2022","4636","","Testing the main page","","","","Clicking the “Developer Docs” link in the hoverable dropdown menu",""
"passed","Mon Oct 03 12:11:56 GMT 2022","Mon Oct 03 12:12:00 GMT 2022","4530","","Testing the main page","","","","Clicking the “Try for free” button",""
"passed","Mon Oct 03 12:12:14 GMT 2022","Mon Oct 03 12:12:15 GMT 2022","1113","","Testing the main page","","","","The “Follow on Facebook” link",""
"passed","Mon Oct 03 12:11:38 GMT 2022","Mon Oct 03 12:11:46 GMT 2022","8679","","Testing the “Talk to an expert” page","","","","Checking the phone number in the “Talk to our product experts” section",""
"passed","Mon Oct 03 12:11:46 GMT 2022","Mon Oct 03 12:11:49 GMT 2022","2795","","Testing the “Talk to an expert” page","","","","Checking the phone numbers in the “Calling from overseas?” section",""
"passed","Mon Oct 03 12:12:46 GMT 2022","Mon Oct 03 12:12:53 GMT 2022","7171","","Testing the sign in page","","","","Login with a randomly generated email and password",""
"passed","Mon Oct 03 12:12:05 GMT 2022","Mon Oct 03 12:12:10 GMT 2022","4318","","Testing the main page","","","","Clicking the “See all Pricing” link in the hoverable dropdown menu",""
"passed","Mon Oct 03 12:12:18 GMT 2022","Mon Oct 03 12:12:23 GMT 2022","4597","","Testing the main page","","","","Clicking the “See all Pricing” link in the “hamburger menu”",""
"passed","Mon Oct 03 12:12:10 GMT 2022","Mon Oct 03 12:12:11 GMT 2022","1891","","Testing the main page","","","","The “Connect on LinkedIn” link",""
"passed","Mon Oct 03 12:12:34 GMT 2022","Mon Oct 03 12:12:46 GMT 2022","12181","","Testing the sign in page","","","","Login with empty fields",""
"passed","Mon Oct 03 12:12:23 GMT 2022","Mon Oct 03 12:12:25 GMT 2022","1741","","Testing the main page","","","","Checking the year in the copyright message in the footer",""
"passed","Mon Oct 03 12:12:15 GMT 2022","Mon Oct 03 12:12:18 GMT 2022","3137","","Testing the main page","","","","Clicking the “Developer Docs” link in the “hamburger menu”",""
"passed","Mon Oct 03 12:13:08 GMT 2022","Mon Oct 03 12:13:23 GMT 2022","15484","","Testing the registration page","","","","Registration with valid random generated inputs",""
"passed","Mon Oct 03 12:13:02 GMT 2022","Mon Oct 03 12:13:08 GMT 2022","6057","","Testing the registration page","","","","Registration with blank inputs",""
"passed","Mon Oct 03 12:12:12 GMT 2022","Mon Oct 03 12:12:14 GMT 2022","2268","","Testing the main page","","","","The “Follow on Twitter” link",""
